participant_id,nickname_first,nickname_last,nickname_number,best_score,gookbap_score,joined_time
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1554,2026-08-10 11:23:37.18+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1668,2026-08-11 05:45:47.569+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-11 05:47:22.469+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-11 06:02:08.822+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-11 06:25:13.574+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1623,2026-08-11 06:29:17.68+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,752,2026-08-11 07:08:50.45+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-11 07:53:27.581+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-11 08:49:15.865+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-12 06:08:12.326+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1834,2026-08-04 07:05:51.366+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-12 11:27:14.16+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1527,2026-08-04 07:28:30.793+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-04 07:32:14.771+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1045,2026-08-04 11:46:13.286+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1697,2026-08-05 06:25:22.226+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1568,2026-08-05 07:57:25.486+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1820,2026-08-05 09:06:31.07+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1711,2026-08-05 10:49:05.974+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-05 11:07:10.817+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-05 11:22:18.146+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,0,2026-08-05 12:06:41.048+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1775,2026-08-05 12:15:22.935+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1680,2026-08-07 03:13:11.868+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1667,2026-08-07 04:33:38.715+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1697,2026-08-07 07:03:22.224+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1495,2026-08-07 07:04:30.125+00
b80f10d7-7eb7-3e12-0580-f080c2962e61,"{""en"": ""Brave"", ""ja"": ""凛々しい"", ""ko"": ""씩씩한""}","{""en"": ""Enthusiast"", ""ja"": ""愛好家"", ""ko"": ""애호가""}",3062,0,1953,2026-08-09 09:42:20.391+00
